setor;Interessado;Paginas;Data;Arquivo
SEFAZ - RECEITA;PROCESSO Nº 9966932025-9;20;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 9962532025-3;5;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 9965382025-7;11;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 9969852025-2;9;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 9859392025-0;17;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 9859422025-1;9;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 9832542025-1;11;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 9832082025-1;7;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 9869272025-9;16;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 9869282025-3;15;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 9869292025-8;22;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 9871052025-2;8;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 9899332025-0;8;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 9899362025-3;32;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 9899292025-3;17;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 9899282025-9;8;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 9717272025-3;21;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 9717102025-8;8;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 9907582025-9;10;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 9909782025-1;11;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 9968172025-3;9;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 9967172025-0;20;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 9968012025-2;21;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 9968352025-1;20;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 9863602025-5;13;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 9899312025-0;12;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 5676272025-0;57;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0352872026-3;8;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0351542026-6;10;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0168342022-5;13;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0168332022-0;14;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0168372022-9;14;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0168382022-3;13;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0083112023-1;26;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0145532015-3;60;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0007172022-7;14;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0168352022-0;10;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0022452022-9;8;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0115332017-7;8;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0059942022-7;7;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0083652017-3;15;2026-07-10;
SEFAZ - RECEITA;DADOS BASICOS - 2025;23;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0084482022-4;12;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0084892022-8;12;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0084922022-0;12;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0084932022-4;12;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0084942022-9;12;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0044042022-9;62;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0084892022-8 -SEFAZ AP;12;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0084862022-4;12;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0067292022-0;134;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0044092022-1;61;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0044022022-0;60;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0088752022-7;38;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0107342022-1;33;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0099042015-9;39;2026-07-10;
SEFAZ - RECEITA;INFORMAÇÃO FISCAL Nº 0257-2022;2;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0196972021-2;22;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0109682016-1;13;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0091882016-2;8;2026-07-10;
